name,trading,ticker,movieSlug,atomTicketsSlug,price,valueDelta,financialDescription,articles,distributors,genres,trailer,posterImg,heroImg,website,rated,imdbid,actors,directors,releaseDate,writers,shortDescription,year,runtime
Terminator: Dark Fate,TRUE,TERMDF,terminator-dark-fate,terminator-dark-fate/194671,125.15,3.78,Term Inc. - Class C Capital Stock,edward-furlong-edward-furlong-terminator-dark-fate,Paramount|Fox,Action|Adventure|Sci-Fi,https://www.youtube.com/embed/oxy8udgWRmo,https://m.media-amazon.com/images/M/MV5BMTUwNWI2ZDQtODRjNy00OGE1LThlNGEtYzU2NDU5ZGMzN2RmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,https://cdn1us.denofgeek.com/sites/denofgeekus/files/styles/main_wide/public/2019/07/terminator-dark-fate-arnold-schwarzenegger-linda-hamilton-sdcc-den-of-geek-cover.jpg?itok=I6okknqO,https://www.facebook.com/Terminator/,R,tt6450804,Arnold Schwarzenegger|Mackenzie Davis|Edward Furlong|Linda Hamilton,Tim Miller,01 Nov 2019,James Cameron (story by)|Charles H. Eglee (story by)|Josh Friedman (story by)|David S. Goyer (story by)|Justin Rhodes (story by)|David S. Goyer (screenplay by)|Justin Rhodes (screenplay by)|Billy Ray (screenplay by),Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.,2019,
Uncut Gems,TRUE,UNCTGM,uncut-gems,uncut-gems/279253,44.21,1.81,Uncut Gems Inc. - Class C Capital Stock,uncut-gems-review-adam-sandler,Netflix,Comedy|Crime|Drama|Mystery|Thriller,https://www.youtube.com/embed/vTfJp2Ts9X8,"https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SY1000_CR0,0,640,1000_AL_.jpg",https://www.indiewire.com/wp-content/uploads/2019/07/Screen-Shot-2019-07-23-at-10.22.47-AM.png,https://a24films.com/films/uncut-gems,R,tt5727208,Adam Sandler|Julia Fox|Kevin Garnett|The Weeknd,Benny Safdie|Josh Safdie,25 Dec 2019,Ronald Bronstein|Benny Safdie|Josh Safdie,A jewelry dealer to the rich and famous must find a way to pay his debts when his merchandise is taken from one of his top sellers and girlfriend.,2019,
Birds of Prey,TRUE,BRDOP,birds-of-prey,birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/285305,78.22,1.11,Birds of Prey Inc. - Class C Capital Stock,birds-of-prey-poster-harley-quinn,Warner,Action|Adventure|Crime,https://www.youtube.com/embed/YjpsGw7YlU8,https://m.media-amazon.com/images/M/MV5BNmRlZGNjNWYtZmQ4Yy00Yjg3LTkzZmYtYjZlYjczMzhlY2I1XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,https://cdn3.movieweb.com/i/article/HOA5mfuEbJpFv40wfnhibOtDWThlZb/1107:50/Birds-Of-Prey-Poster.jpg,https://www.facebook.com/watch/?v=2197453547145355,R,tt7713068,Margot Robbie|Mary Elizabeth Winstead|Ewan McGregor|Rosie Perez,Cathy Yan,07 Feb 2020,Chuck Dixon (Birds Of Prey Comics created by)|Jordan B. Gorfinkel (Birds Of Prey Comics created by)|Christina Hodson|Greg Land (Birds Of Prey Comics created by),"After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord, Black Mask in Gotham City.",2020,
Onward,TRUE,ONWRD,onward,onward/285150,52.13,4.02,Onward 2020 Inc. - Class C Capital Stock,pixar-onward-trailer,Disney,Animation|Adventure|Comedy|Drama|Family|Fantasy,https://www.youtube.com/embed/gn5QmllRCn4,https://m.media-amazon.com/images/M/MV5BZTU3Y2RlYjAtMzAzOC00MjdiLWI2MjctYzhhMmI3MWRhODhhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://cdn3.movieweb.com/i/article/HOA5mfuEbJpFv40wfnhibOtDWThlZb/1107:50/Birds-Of-Prey-Poster.jpg,https://movies.disney.com/onward,PG,tt7146812,Tom Holland|Chris Pratt|Julia Louis-Dreyfus|Octavia Spencer,Dan Scanlon,06 Mar 2020,Dan Scanlon,"Two teenage elf brothers, Ian and Barley Lightfoot, go on an journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him.",2020,
Saw 9: The Organ Donor,FALSE,SAW9,saw-9,saw-9,125.15,3.78,"SAW 9, Inc. - Class C Capital Stock",edward-furlong-edward-furlong-terminator-dark-fate,Lionsgate,Action|Adventure|Sci-Fi,https://www.youtube.com/embed/oxy8udgWRmo,https://m.media-amazon.com/images/M/MV5BMTUwNWI2ZDQtODRjNy00OGE1LThlNGEtYzU2NDU5ZGMzN2RmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,https://cdn1us.denofgeek.com/sites/denofgeekus/files/styles/main_wide/public/2019/07/terminator-dark-fate-arnold-schwarzenegger-linda-hamilton-sdcc-den-of-geek-cover.jpg?itok=I6okknqO,https://www.facebook.com/Terminator/,R,tt6450804,Arnold Schwarzenegger|Mackenzie Davis|Edward Furlong|Linda Hamilton,Tim Miller,01 Nov 2019,James Cameron (story by)|Charles H. Eglee (story by)|Josh Friedman (story by)|David S. Goyer (story by)|Justin Rhodes (story by)|David S. Goyer (screenplay by)|Justin Rhodes (screenplay by)|Billy Ray (screenplay by),Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.,2019,
Star Wars: The Rise of Skywalker (2019),TRUE,SWTRS,star-wars-the-rise-of-skywalker-2019,,,,,,Disney,Action|Adventure|Fantasy|Sci-Fi,https://www.youtube.com/embed/adzYW5DZoWs,https://m.media-amazon.com/images/M/MV5BMDljNTQ5ODItZmQwMy00M2ExLTljOTQtZTVjNGE2NTg0NGIxXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_QL50.jpg,https://img.youtube.com/vi/adzYW5DZoWs/maxresdefault.jpg,,,tt2527338,Adam Driver|Daisy Ridley|Billie Lourd,J.J. Abrams,,Chris Terrio|J.J. Abrams,The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.,2019,2h 22min
Cats (2019),FALSE,C,cats-2019,,,,,,Universal,Comedy|Drama|Family|Fantasy|Musical,https://www.youtube.com/embed/jzsDroK9CNs,https://m.media-amazon.com/images/M/MV5BNTE4NWRhYmQtOTY4YS00OWMwLWEwYWUtZjVjNDhhODc5YzNmXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_QL50.jpg,https://img.youtube.com/vi/jzsDroK9CNs/maxresdefault.jpg,,,tt5697572,Idris Elba|Francesca Hayward|Taylor Swift,Tom Hooper,,T.S. Eliot|Lee Hall,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,2019,
1917 (2019),TRUE,1917,1917-2019,,,,,,Universal,Drama|War,https://www.youtube.com/embed/UcmZN0Mbl04,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_QL50.jpg,https://img.youtube.com/vi/UcmZN0Mbl04/maxresdefault.jpg,,,tt8579674,Andrew Scott|Benedict Cumberbatch|Mark Strong,Sam Mendes,,Sam Mendes|Krysty Wilson-Cairns,"Schofield and Blake, two young British soldiers during the First World War, are given a seemingly impossible mission. With time against them, they must deliver a message, deep in enemy territory, that will stop their own men, and Blake's own brother, walking straight into a deadly trap.",2019,1h 58min
Spies in Disguise (2019),TRUE,SD,spies-in-disguise-2019,,,,,,Fox,Animation|Action|Adventure|Comedy|Family|Sci-Fi,https://www.youtube.com/embed/LSSGHvzMY60,https://m.media-amazon.com/images/M/MV5BNzg1MzM3OWUtNjgzZC00NjMzLWE1NzAtOThiMDgyMjhhZDBhXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_QL50.jpg,https://img.youtube.com/vi/LSSGHvzMY60/maxresdefault.jpg,,,tt5814534,Karen Gillan|Rachel Brosnahan|Tom Holland,Troy Quane|Nick Bruno,,Brad Copeland|Lloyd Taylor,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.",2019,1h 41min
Little Women (2019),TRUE,LW,little-women-2019,,,,,,Colombia,Drama|Romance,https://www.youtube.com/embed/AST2-4db4ic,https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL50.jpg,https://img.youtube.com/vi/AST2-4db4ic/maxresdefault.jpg,,,tt3281548,Saoirse Ronan|Emma Watson|Timothée Chalamet,Greta Gerwig,,Greta Gerwig|Louisa May Alcott,Four sisters come of age in America in the aftermath of the Civil War.,2019,2h 14min
